regime,MAE,RMSE,QLIKE
high,0.14559615161924372,0.2087335547582243,2.6956706855661534
low,0.09671662321995293,0.10893267255697515,2.1917151997256505
medium,0.045565526778366894,0.06545004785483008,0.3389209247130726
