regime,MAE,RMSE,QLIKE
high,0.5194181721608591,0.7922257329885339,4.384333579850366
low,0.3038067155705785,0.3409199322599319,2.3254496263918187
medium,0.13534400445165257,0.21844082455258423,0.2946292011840313
