Model,MAE,RMSE,Correlation,QLIKE,MSE_var,Log_vol
naive,0.4225606738724362,0.6638245588610493,0.259330948658068,2745805205.8544483,5.78936571034896,13.73038270274546
roll_mean,0.3444406818511261,0.5276001749476413,,2.4123604155390987,3.1194596251220674,7.663358246884978
har_rv,0.3213643488525252,0.5142342107588623,,3.006444072021466,3.2742910224590136,4.923093462340941
ewma,0.4113278238449636,0.5649117287133318,,1.7599876998049144,3.089264589831266,8.140383151414412
garch,0.31496693344495796,0.4955854796138881,,2.166130817694182,3.157828072919726,4.927436402709492
gjr,0.3069323852702186,0.4876636196210147,,2.041075163471347,3.112770122696076,4.837903510888044
garch_t,0.31394581248164566,0.49833735032206244,,2.251722395336883,3.163464094670387,4.882755871658153
ridge,0.31052314163221867,0.4937758925553454,,2.246826895389392,3.120622899300187,4.845983762160609
