Model,MAE,RMSE,Correlation,QLIKE,MSE_var,Log_vol
naive,0.10411641250266655,0.14995847964245007,0.18132205120346137,37596464.677458644,0.009833339611231463,6.251905606945852
roll_mean,0.07902465930811926,0.11283490836611153,,1.9267684844265789,0.006088958416160698,3.290582870047493
har_rv,0.07463689562762481,0.10831961654341928,,1.9570988174529977,0.005707041669211758,3.1348997736011626
ewma,0.091656841697493,0.11978198160003832,,1.5578126380636748,0.005968473709403873,3.8140088193635515
garch,0.07352441875914341,0.10785355719303129,,1.8818331894755702,0.005784010452601427,3.1220750433784974
gjr,0.07358150977597003,0.10759975492725793,,1.8762946969185035,0.005769878855413764,3.114550553598528
garch_t,0.07365013279759668,0.10767835052441738,,1.8526623656494772,0.0057783896626024825,3.1319631046193717
ridge,0.0749449986990294,0.10564960463760241,,1.7078195074110578,0.00535298874752529,3.1714392653933925
