Model,MAE,RMSE,Correlation,QLIKE,MSE_var,Log_vol
naive,0.12333085896316526,0.17865042518091395,0.2798993828306621,63453100.448622584,0.0228779885092902,7.05151108994895
roll_mean,0.09779980242803368,0.1403589228936384,,1.9791217545841444,0.015522504268880157,3.9196903941923034
har_rv,0.10108102141049544,0.14670820490656333,,2.1025696883354024,0.019831035801730065,2.470877825114169
ewma,0.11155251846426355,0.14780335690367388,,1.5846285766969341,0.014991014272723039,4.282391762048096
garch,0.09913024680606895,0.1452246093998895,,1.9713941664849184,0.019875690932647388,2.447078155631685
gjr,0.09703357662270623,0.14270532078102022,,1.9867679827394773,0.019259591959981847,2.40176248604608
garch_t,0.09958765734729504,0.14480696660451464,,1.9280666978372156,0.019601280469387403,2.4639761222003176
ridge,0.0987011383632949,0.14250658445845504,,1.7694455092090793,0.019234289932540546,2.4549675786321643
