regime,MAE,RMSE,QLIKE
high,0.1458948885270603,0.20532470891120516,2.0905643799017573
low,0.10814439354749777,0.12200586006711527,2.301930464756295
medium,0.04878639597926615,0.06919317541267653,0.3517831396189013
