Model,MAE,RMSE,Correlation,QLIKE,MSE_var,Log_vol
naive,0.09165587193933934,0.12426743306075812,0.20104025307874968,86913099.18953872,0.0037972869878374507,6.618356500997591
roll_mean,0.06906213074691142,0.09482649707341048,,1.462473961341635,0.002705852136046957,3.55319835182106
har_rv,0.06736204911501716,0.09398433520289838,,1.597089664029103,0.0029064553276074642,3.6308954600614487
ewma,0.07652837443602273,0.09871754663457538,,1.2508581901355953,0.002550855643754176,3.7920163358236794
garch,0.06551354311080912,0.0935496844599491,,1.6138641585517135,0.003022956764349442,3.5605092982122923
gjr,0.06561952470698165,0.0939488832693593,,1.6245397260274415,0.0030643701370706928,3.5564247477724686
garch_t,0.06571928777932408,0.09418408109164551,,1.6131156724267885,0.0030993118423081004,3.56256580908807
ridge,0.06711197424428576,0.09055880350319548,,1.4088244172867281,0.0025931725803366814,3.645463365637146
