Date,realized,naive,roll_mean,har_rv,ewma,garch,gjr,garch_t,ridge,regime,ridge_lower,ridge_upper
2010-01-29,0.24685632371604904,0.18212406019771465,,,,,,,,high,,
2010-02-01,0.19213861787472344,0.17253123741003776,,,,,,,,high,,
2010-02-02,0.07909156001727276,0.24685632371604904,,,,,,,,medium,,
2010-02-03,0.489983358685599,0.19213861787472344,,,,,,,,high,,
2010-02-04,0.03280980894093325,0.07909156001727276,,,,,,,,low,,
2010-02-05,0.11460582528852081,0.489983358685599,,,,,,,,medium,,
2010-02-08,0.19938712553874663,0.03280980894093325,,,,,,,,high,,
2010-02-09,0.031096189001541687,0.11460582528852081,,,,,,,,low,,
2010-02-10,0.16614916185620607,0.19938712553874663,,,,,,,,high,,
2010-02-11,0.0132092236503743,0.031096189001541687,,,,,,,,low,,
2010-02-12,0.24978343211855122,0.16614916185620607,,,,,,,,high,,
2010-02-16,0.07522073725148258,0.0132092236503743,,,,,,,,medium,,
2010-02-17,0.09358211759413348,0.24978343211855122,,,,,,,,medium,,
2010-02-18,0.03291920321341549,0.07522073725148258,,,,,,,,low,,
2010-02-19,0.0028604149681810526,0.09358211759413348,,,,,,,,low,,
2010-02-22,0.19279422256419626,0.03291920321341549,,,,,,,,high,,
2010-02-23,0.14600741972779743,0.0028604149681810526,,,,,,,,high,,
2010-02-24,0.02148584923953556,0.19279422256419626,,,,,,,,low,,
2010-02-25,0.01004080656510355,0.14600741972779743,,,0.18147082502508463,,,,,low,,
2010-02-26,0.16485309006735685,0.02148584923953556,,,0.17602118968527747,,,,,high,,
2010-03-01,0.043985716089361034,0.01004080656510355,,,0.17067659691040207,,,,,low,,
2010-03-02,0.014138099648779443,0.16485309006735685,0.13225135388579423,,0.1703328012075956,,,,,low,,
2010-03-03,0.048070006758489305,0.043985716089361034,0.1259723382445054,,0.1654948699216575,,,,,medium,,
2010-03-04,0.2268966638052714,0.014138099648779443,0.11877265016444821,,0.16049059786748843,,,,,high,,
2010-03-05,0.0027768844860683256,0.048070006758489305,0.10973690848455914,,0.15604628036777332,,,,,low,,
2010-03-08,0.026394203662764838,0.2268966638052714,0.11131681966322042,,0.16117797890027782,,,,,low,,
2010-03-09,0.07073014691588503,0.0027768844860683256,0.10784797077543841,,0.15626932870746785,,,,,medium,,
2010-03-10,0.06628278999424497,0.026394203662764838,0.08677573645621867,,0.15164661601308868,,,,,medium,,
2010-03-11,0.0013726084081000904,0.07073014691588503,0.08849938818235284,,0.14804411369687234,,,,,low,,
2010-03-12,0.0041286846445322736,0.06628278999424497,0.08630288657806756,,0.14444943931784637,,,,,low,,
2010-03-15,0.12645346637414545,0.0013726084081000904,0.07730222670849272,,0.14004933106343737,,,,,high,,
2010-03-16,0.09409163397004774,0.0041286846445322736,0.0760764310559014,,0.1357866303641524,,,,,medium,,
2010-03-17,0.008132048494801897,0.12645346637414545,0.07427208126126227,,0.13524480469132305,,,,,low,,
2010-03-18,0.08035672002637323,0.09409163397004774,0.07794855445761106,,0.1331348260194292,,,,,medium,,
2010-03-19,0.08487173632743937,0.008132048494801897,0.06696440065653154,,0.1290943716744985,,,,,medium,,
2010-03-22,0.11164474523478236,0.08035672002637323,0.06719785441902658,,0.12669991135496253,,,,,medium,,
2010-03-23,0.07705921150510964,0.08487173632743937,0.0668019279978132,,0.12458687002548904,,,,,medium,,
2010-03-24,0.02581675976821225,0.11164474523478236,0.07038036172605716,,0.12384848743563881,,,,,low,,
2010-03-25,0.009527076953702227,0.07705921150510964,0.07375303429591756,,0.1215501061059068,,,,,low,,
2010-03-26,0.10076640452771317,0.02581675976821225,0.06616314962337283,,0.1180167483952661,,,,,medium,,
2010-03-29,0.010824729131251497,0.009527076953702227,0.059959497679095766,,0.11444527792530784,,,,,low,,
2010-03-30,0.05408951044293622,0.10076640452771317,0.06356315928310384,,0.11367097447424063,,,,,medium,,
2010-03-31,0.10854199252171312,0.010824729131251497,0.06359879212701966,,0.11023999046305272,,,,,medium,,
2010-04-01,0.12937023067881018,0.05408951044293622,0.058564083962273264,,0.10769969673055586,,,,,high,,
2010-04-05,0.03742852815403879,0.10854199252171312,0.06149846016374381,,0.10775042015573535,,,,,low,,
2010-04-06,0.0906861694791406,0.12937023067881018,0.06673628430147248,,0.10916841693579038,,,,,medium,,
2010-04-07,0.0549909990875811,0.03742852815403879,0.06625258072854291,,0.10623903399446566,,,,,medium,,
2010-04-08,0.1042560346545968,0.0906861694791406,0.0600611946228097,,0.10537061869193215,,,,,medium,,
2010-04-09,0.025228844130041575,0.0549909990875811,0.062434563468333,,0.10304479533362346,,,,,low,,
2010-04-12,0.011929346143095978,0.1042560346545968,0.06597373760432537,,0.10311787090675155,,,,,low,,
2010-04-13,0.18017126688308777,0.025228844130041575,0.06390549656860521,,0.10016729634411255,,,,,high,,
2010-04-14,0.013103479171554884,0.011929346143095978,0.061434885484462076,,0.09715974773248444,,,,,low,,
2010-04-15,0.2526084254132399,0.18017126688308777,0.06956209723332515,,0.10402555796192119,,,,,high,,
2010-04-16,0.059847436434069735,0.013103479171554884,0.0699700424390989,,0.10090758037291175,,,,,medium,,
2010-04-19,0.1417768738643064,0.2526084254132399,0.07570435875905775,,0.11575862985323424,,,,,high,,
2010-04-20,0.028893316898638405,0.059847436434069735,0.07414780432560421,,0.1131855101204744,,,,,low,,
2010-04-21,0.04736557739548675,0.1417768738643064,0.08022256911512714,,0.11510144671950139,,,,,medium,,
2010-04-22,0.10362174107338615,0.028893316898638405,0.0778833235184119,,0.11181919280870879,,,,,medium,,
2010-04-23,0.05994460885503277,0.04736557739548675,0.07617849811241406,,0.10903178363618651,,,,,medium,,
2010-04-26,0.3754429224013956,0.10362174107338615,0.07581381610507787,,0.10871477344730886,,,,,high,,
2010-04-27,0.12058660487217776,0.05994460885503277,0.07503587962098346,,0.10642071798106176,,,,,medium,,
2010-04-28,0.1968045995489135,0.3754429224013956,0.0909279779224918,,0.1382146531361506,,,,,high,,
2010-04-29,0.26926074603219025,0.12058660487217776,0.0959761382824225,,0.1372208463664671,,,,,high,,
2010-04-30,0.20575939575869662,0.1968045995489135,0.10034151078338617,,0.1415051591324298,,,,,high,,
2010-05-03,0.3732824825668386,0.26926074603219025,0.11208860246070157,,0.1522247299838542,,,,,high,,
2010-05-04,0.09455039559289664,0.20575939575869662,0.1189826881568725,,0.15595589777278998,,,,,medium,,
2010-05-05,0.5272545657983606,0.3732824825668386,0.1310163467952873,,0.17670114949989896,,,,,high,,
2010-05-06,0.23613375305203022,0.09455039559289664,0.12943362701865485,,0.17287650244876224,,,,,high,,
2010-05-07,0.6991293188292524,0.5272545657983606,0.15169844691157858,,0.21159619708845187,,,,,high,,
2010-05-10,0.0450996501444164,0.23613375305203022,0.15830970071034628,,0.21314812348407738,,,,,medium,,
2010-05-11,0.22201983357193592,0.6991293188292524,0.1875887152440586,,0.26838983486506296,,,,,high,,
2010-05-12,0.19733200743824691,0.0450996501444164,0.18489978867541404,,0.260447990888682,,,,,high,,
2010-05-13,0.28740669030659627,0.22201983357193592,0.1938448336500456,,0.2583035713853615,,,,,high,,
2010-05-14,0.008362344247986613,0.19733200743824691,0.20227222734527972,,0.2550566332416843,,,,,low,,
2010-05-17,0.2159299925174196,0.28740669030659627,0.20714656477362103,,0.25711244491258606,,,,,high,,
2010-05-18,0.09038984609455081,0.008362344247986613,0.20693105864073155,,0.2492881796180301,,,,,medium,,
2010-05-19,0.5994138196075008,0.2159299925174196,0.205263857145467,,0.24741355340310148,,,,,high,,
