regime,MAE,RMSE,QLIKE
high,0.14148420339684464,0.1945795241024131,2.348756428660774
low,0.09693418326598796,0.11801346895364968,2.5416890364751543
medium,0.05485755278531254,0.08822708794587686,0.40989827446906735
