regime,MAE,RMSE,QLIKE
high,0.11067911014185154,0.1610364126081377,2.6911820504749713
low,0.07341119836923604,0.09556773524125314,2.486204157356798
medium,0.040067399212756816,0.05870154576689081,0.43758611359483635
