Date,realized,naive,roll_mean,har_rv,ewma,garch,gjr,garch_t,ridge,regime,ridge_lower,ridge_upper
2010-01-29,0.35806025329793856,0.007450039751088969,,,,,,,,high,,
2010-02-01,0.11427869803503753,0.0775245271740381,,,,,,,,medium,,
2010-02-02,0.06254965086465432,0.35806025329793856,,,,,,,,medium,,
2010-02-03,0.6323507722672317,0.11427869803503753,,,,,,,,high,,
2010-02-04,0.04715012506424849,0.06254965086465432,,,,,,,,low,,
2010-02-05,0.09705459797323923,0.6323507722672317,,,,,,,,medium,,
2010-02-08,0.20903613212428435,0.04715012506424849,,,,,,,,high,,
2010-02-09,0.04367348121488841,0.09705459797323923,,,,,,,,low,,
2010-02-10,0.3035356999284372,0.20903613212428435,,,,,,,,high,,
2010-02-11,0.013335644641260195,0.04367348121488841,,,,,,,,low,,
2010-02-12,0.38262573815459205,0.3035356999284372,,,,,,,,high,,
2010-02-16,0.05358156690417227,0.013335644641260195,,,,,,,,medium,,
2010-02-17,0.10607271425292143,0.38262573815459205,,,,,,,,medium,,
2010-02-18,0.07361368136341791,0.05358156690417227,,,,,,,,medium,,
2010-02-19,0.058005182226405556,0.10607271425292143,,,,,,,,medium,,
2010-02-22,0.1717422222358497,0.07361368136341791,,,,,,,,high,,
2010-02-23,0.07798192454092481,0.058005182226405556,,,,,,,,medium,,
2010-02-24,0.14046883329153817,0.1717422222358497,,,,,,,,high,,
2010-02-25,0.16415375137806312,0.07798192454092481,,,0.22016894052675529,,,,,high,,
2010-02-26,0.0,0.14046883329153817,,,0.21621699798556687,,,,,low,,
2010-03-01,0.2306534707391247,0.16415375137806312,,,0.2134516105591772,,,,,high,,
2010-03-02,0.0872226606046451,0.0,0.14519296530382872,,0.20694901460815956,,,,,medium,,
2010-03-03,0.11376452510833572,0.2306534707391247,0.1553385758032849,,0.2084473132047789,,,,,medium,,
2010-03-04,0.0028652709130753246,0.0872226606046451,0.15577940005013066,,0.20322335739459407,,,,,low,,
2010-03-05,0.13323073265523114,0.11376452510833572,0.1446750487687851,,0.198993193455642,,,,,high,,
2010-03-08,0.023114837490075226,0.0028652709130753246,0.13961080208142318,,0.1929323357185581,,,,,low,,
2010-03-09,0.18085248461736464,0.13323073265523114,0.14282357852644936,,0.1898803272677301,,,,,high,,
2010-03-10,0.01902500598108552,0.023114837490075226,0.11513103603657865,,0.18418285507895088,,,,,low,,
2010-03-11,0.09501339300835641,0.18085248461736464,0.12120841601626574,,0.1839847328727801,,,,,medium,,
2010-03-12,0.060292788729987334,0.01902500598108552,0.11766161638025875,,0.1784406794024473,,,,,medium,,
2010-03-15,0.29885576226070015,0.09501339300835641,0.11247876460226203,,0.1745630665196054,,,,,high,,
2010-03-16,0.11647131839504993,0.060292788729987334,0.11323418767113017,,0.16988832085677585,,,,,medium,,
2010-03-17,0.10864021623909982,0.29885576226070015,0.11302146323168757,,0.1802476215319031,,,,,medium,,
2010-03-18,0.2963698435197967,0.11647131839504993,0.11770944840231437,,0.1770700054903556,,,,,high,,
2010-03-19,0.07770105177294036,0.10864021623909982,0.10525556104251926,,0.1737259952590918,,,,,medium,,
2010-03-22,0.08397646997053772,0.2963698435197967,0.11629139179777491,,0.1834120584692108,,,,,medium,,
