Date,Open,High,Low,Close,Simple,Log
2020-01-02,206.62138028175576,208.31753540039062,206.21662000258715,208.31753540039062,,
2020-01-03,205.56131512712398,207.6525840959463,205.54203662503116,206.4093780517578,-0.009159849865568392,-0.009202059242434448
2020-01-06,204.79035534234592,207.76824450960788,204.53979361320714,207.7393341064453,0.006443292776910692,0.006422623503948242
2020-01-07,207.816367345638,208.29822685206966,207.05503579575745,207.71035766601562,-0.00013948461207080598,-0.0001394943409540051
2020-01-08,207.68152116674824,210.22573967775276,207.3538601150348,209.2716522216797,0.007516690901734124,0.007488581353320819
2020-01-09,210.99670245217024,211.449651692195,209.81133184996403,211.04489135742188,0.008473384316112664,0.008437686706521551
2020-01-10,211.87366690111043,211.8929306969113,210.12932283874846,210.5051727294922,-0.0025573640966064515,-0.0025606397380314025
2020-01-13,211.37258658557033,212.96271777983782,211.03527889942066,212.93380737304688,0.011537173229826392,0.01147112754832639
2020-01-14,212.82774294772395,213.18432904848552,211.76766065906043,212.09532165527344,-0.003937776382800795,-0.003945549837683167
2020-01-15,212.21097827250065,213.17469753323425,211.48818882695045,212.18206787109375,0.00040899636608338064,0.0004089127498680212
2020-01-16,213.24217917107654,214.25408740341612,212.78922991188824,214.2155303955078,0.009583573884525576,0.009537942748252922
2020-01-17,215.1792416958493,215.44908192038469,214.06132379123738,215.27561950683594,0.004948703342707583,0.00493649875833773
2020-01-21,214.67807639313898,215.71889485834492,214.58171329953078,215.17921447753906,-0.00044782139992316505,-0.0004479217018723036
2020-01-22,216.26823460908247,216.98137742359447,215.4779777868317,215.74781799316406,0.002642464872852912,0.002638979700830467
2020-01-23,215.6225132507356,216.53804343993446,214.6202371679939,216.44166564941406,0.003216012392171619,0.003210852085099294
2020-01-24,217.45360666700074,217.68490457627922,213.62764014400184,214.62026977539062,-0.008415181377201542,-0.008450788919342866
2020-01-27,209.7727574021594,211.32434590904438,209.30052969825945,210.18716430664062,-0.020655576816623333,-0.020871887103707562
2020-01-28,211.67128945646775,213.90712511131423,211.11233054275615,213.41561889648438,0.015359903638710204,0.015243134509118244
2020-01-29,214.6010043183567,214.84193414072158,212.8181324559702,213.7625732421875,0.0016257214326540481,0.0016244013780661187
2020-01-30,212.38445261513095,214.6202736241637,211.71948398107045,214.52391052246094,0.0035616023363025384,0.003555274850243641
2020-01-31,215.42014272091933,215.44905311931274,210.37024902718596,211.12196350097656,-0.015858125153504488,-0.0159852105685052
2020-02-03,212.1531230432498,214.80335058021038,212.008571059672,214.31185913085938,0.01510925522378459,0.014996247315481494
2020-02-04,217.2415815498947,219.5930587642607,216.49951364417046,219.2172088623047,0.022888839429320074,0.022630819706002798
2020-02-05,221.8578551662401,221.89639747293273,218.61975731197793,219.94004821777344,0.0032973659286155144,0.0032919415384440377
2020-02-06,220.48933091752124,221.89636755776917,219.70872064180955,221.8385467529297,0.008631891056404939,0.008594849292484509
2020-02-07,220.84590289140522,222.0794623328273,220.24838696761216,220.8844451904297,-0.004300882675555173,-0.004310158075942577
2020-02-10,220.1520273099652,223.5635869767346,220.09420650793012,223.553955078125,0.012085549461818612,0.012013102333711289
2020-02-11,224.78751594787164,225.5295838907473,223.0046294462739,223.59249877929688,0.00017241341652129982,0.00017239855503638993
2020-02-12,224.91276788557118,225.87648698395114,224.35380904388845,225.77047729492188,0.009740838925794248,0.009693702804030941
2020-02-13,224.1996511381023,226.4065618035363,223.92981091801053,225.4813995361328,-0.0012804054908004403,-0.001281225910298738
2020-02-14,225.83797173010817,226.33910987135076,225.07663997194174,226.12709045410156,0.0028636105652044552,0.002859518243152824
2020-02-18,225.02843564093837,226.63784495777347,224.78750583832496,226.21380615234375,0.0003834821297530322,0.0003834086192738152
2020-02-19,227.5630343389917,228.85441462251333,227.2931941216943,228.38218688964844,0.009585536684018292,0.009539886913783628
2020-02-20,227.88101858073526,228.3532315154118,223.46718345966417,226.261962890625,-0.009283666243409372,-0.009327028052567975
2020-02-21,225.13440645661552,225.51988819214054,221.00005822814512,221.91558837890625,-0.01920947938483053,-0.019396378798803196
2020-02-24,213.63730601341578,216.11407188909791,212.2688262525871,213.3578338623047,-0.03856310671600838,-0.039326349717275375
2020-02-25,215.15027844084744,215.86343583346562,206.9490345990744,207.55616760253906,-0.02719218767242393,-0.027568737038114056
2020-02-26,208.84761206751284,212.2880822574722,207.10326781477556,208.62594604492188,0.005154163592148153,0.005140926356084901
2020-02-27,203.24841909167284,208.56815438909368,198.04434012378138,198.17926025390625,-0.05007376114553952,-0.05137094071304268
2020-02-28,191.43318660725154,199.6537104347494,190.98023739427853,198.3334197998047,0.0007778793083641489,0.0007775769170607559
2020-03-02,201.30164921281633,208.71265140411816,198.46831272148094,208.56808471679688,0.05160333002538309,0.05031598049598413
2020-03-03,209.2331120540719,211.6424104680771,200.08740998063973,201.8799285888672,-0.032067016087390154,-0.03259242559740838
2020-03-04,205.58059234373718,210.4088203720102,203.70132808893285,210.3028106689453,0.041722236276551916,0.04087533992285368
2020-03-05,204.97344235634355,208.5102901136209,202.4774131167275,203.91334533691406,-0.03038221558574139,-0.030853321823894348
2020-03-06,197.2444347329739,201.56189324076735,195.5482939954954,200.472900390625,-0.01687209309721549,-0.017016048375202455
2020-03-09,186.46040374632923,193.86177552572278,185.14011302727727,186.54714965820312,-0.06946450470506138,-0.07199505715244241
2020-03-10,193.81356956296509,196.8878361743078,186.65312823578174,196.70472717285156,0.05445045680547489,0.05301973719236164
2020-03-11,192.1174643299756,193.46666558021462,185.73763203335488,188.13729858398438,-0.043554767147709006,-0.04453174960595267
2020-03-12,175.48360236117088,183.85832345301824,170.52045502046735,170.8866729736328,-0.09169168336203626,-0.09617140224817453
2020-03-13,180.28298039710057,187.42412938814778,171.66732731648293,185.3617706298828,0.08470583108890795,0.08130882681146241
2020-03-16,167.83172991555574,177.97969415946238,163.02277945532956,163.15769958496094,-0.11978775865956404,-0.12759221724850683
2020-03-17,169.1038092730566,177.70018277612678,163.62024466987097,175.5318145751953,0.07584144065349996,0.07310309089358939
2020-03-18,165.3838757968927,172.71778053018562,160.74838814474802,170.19284057617188,-0.03041599046841903,-0.0308881556228177
2020-03-19,169.3158576600736,176.83287165123687,165.40315938937735,171.21438598632812,0.006002281921483332,0.005984339986588499
2020-03-20,175.146302293195,176.2352948005977,163.92861334100306,164.5068359375,-0.039176322773272876,-0.039964365278197043
2020-03-23,165.06991871243605,168.24732012181747,159.28493316108887,164.62567138671875,0.0007223739277550933,0.0007221131412920136
2020-03-24,173.7522370849659,177.53806576241072,171.85931537797967,177.37388610839844,0.0774375868252839,0.0745856172580413
2020-03-25,178.10785889502003,183.0236400387477,173.8198243207919,176.0604248046875,-0.007405043281896839,-0.007432596722116226
2020-03-26,177.576706111881,186.12380446760096,177.32561039557515,185.3318634033203,0.05266054883667404,0.05132081540368423
2020-03-27,180.53191767157102,183.9893863558448,178.3396238407872,178.9577178955078,-0.0343931442265869,-0.03499850921012934
2020-03-30,180.6574807237227,185.90163536165923,179.9621230398358,185.46702575683594,0.036373440262178924,0.035727542459437114
2020-03-31,185.15800618194586,188.56718379324212,182.72425402417431,183.8831787109375,-0.008539777027400053,-0.008576449857696768
2020-04-01,178.44590728652406,181.23699107295323,174.66973077061147,176.07009887695312,-0.042489366829287056,-0.04341845284987181
2020-04-02,175.03670596126688,183.59345543515303,174.77594312185715,179.6434326171875,0.02029494935838949,0.020091751533375793
2020-04-03,179.19915776414615,180.66713664284723,175.08495593438872,177.09376525878906,-0.014192933864894841,-0.014294616816986115
2020-04-06,183.96041339985334,190.88500315636537,182.714572873169,189.7550506591797,0.07149481169982774,0.06905469382908364
2020-04-07,195.44346091590847,195.72354331489208,189.29149213713953,189.67779541015625,-0.00040713145054671607,-0.00040721435105742855
2020-04-08,191.36787965816228,194.28451772014154,189.45565358810086,193.70506286621094,0.021232150275398265,0.021009888728824602
2020-04-09,195.4241755550848,196.26439336276965,192.21780207051773,193.98516845703125,0.0014460416608406135,0.0014449971494149487
2020-04-13,193.15455079877353,196.45749184904983,191.9473348562812,196.08084106445312,0.010803262043644679,0.010745323716687499
2020-04-14,200.13709451076008,205.2267213258682,199.35482089554995,204.60862731933594,0.04349117541820258,0.042571990784652534
2020-04-15,201.3442986207492,204.579643225078,200.03084709241702,202.26177978515625,-0.011469934405634485,-0.011536221462869922
2020-04-16,204.44450718169685,207.03277198178967,202.51296100734896,205.95111083984375,0.018240376697002958,0.018076016676292685
2020-04-17,208.7711496121478,209.09950889848074,204.82114154163116,207.9212646484375,0.009566123729848774,0.009520658091550298
2020-04-20,206.05734698756143,208.49109929959357,205.29439273084583,205.4585723876953,-0.011844350143340177,-0.011915053301696734
2020-04-21,203.39179805275919,203.93262857054916,196.66035911817565,197.87722778320312,-0.03689962660787094,-0.03759764271720123
2020-04-22,201.94312433773194,205.08188634127163,201.199475059897,203.74911499023438,0.02967439595153709,0.02924263182954599
2020-04-23,204.54101977674566,207.10032660058147,202.90887608393606,203.3144989013672,-0.0021330943640566202,-0.002135372650282512
2020-04-24,203.7491406157427,206.96516662607795,202.3294530597426,206.52090454101562,0.01577066887494305,0.015647604066508097
2020-04-27,208.79046379039787,209.21540626124602,207.15830508942489,208.18202209472656,0.008043338554044599,0.008011163322202135
2020-04-28,209.8817921743748,209.8817921743748,203.9809186465457,204.260986328125,-0.01883465117279637,-0.019014282318008207
2020-04-29,208.79043781233008,212.44105805908904,207.7763733578916,211.50425720214844,0.03546086310573204,0.03484660597336728
2020-04-30,212.42174044337628,212.50865646516988,209.91073981579444,211.41734313964844,-0.0004109329223427327,-0.0004110173784140446
2020-05-01,207.1583277202499,209.25405355630917,204.4348405340307,205.4585723876953,-0.02818487198572517,-0.02858969012771751
2020-05-04,204.2223370191323,208.07576132858185,203.8939630444663,207.8536376953125,0.0116571690330729,0.01158974769358935
2020-05-05,209.99767281483525,212.6052568351252,209.42787031053436,210.21014404296875,0.011337335125741754,0.011273549197411106
2020-05-06,211.89056045311338,213.47442736050868,210.6447199427057,211.50425720214844,0.006156283109321148,0.006137410615131288
2020-05-07,214.2277374267578,215.10657950723328,212.87564661525315,214.2277374267578,0.012876715866793953,0.012794515853142577
2020-05-08,215.89855130961155,217.29891917476593,214.86516715378124,217.16371154785156,0.013704920550251076,0.013611857444205278
2020-05-11,215.84061666021245,220.12863647275321,215.60882583121293,219.10491943359375,0.00893891466445318,0.008899199067518529
2020-05-12,219.70372867783442,220.29285086058465,214.4885450756534,214.51751708984375,-0.02093701207443832,-0.021159299475776737
2020-05-13,215.03898398472887,216.92223807449193,209.29263853687792,211.83261108398438,-0.012516022198480359,-0.012595007349606386
2020-05-14,210.50954238140108,214.27605119381286,208.59731596406328,214.2374267578125,0.011352433704717502,0.011288478406238575
2020-05-15,211.29183215768015,215.68610259598825,210.85723722126016,215.62815856933594,0.006491544603434818,0.006470565271001331
2020-05-18,218.53511886923397,220.85296823410516,217.75284507700312,219.645751953125,0.018632044211875032,0.01846059404665602
2020-05-19,219.9064604473071,221.98288077933265,218.95035482044452,219.09521484375,-0.0025064773822371933,-0.0025096238554800357
2020-05-20,221.64490445534355,223.8275461396017,221.62558486903285,223.47021484375,0.01996848723108835,0.01977173194744133
2020-05-21,223.51851226475682,224.19455043797876,220.52460997923944,221.03646850585938,-0.010890696729281335,-0.010950434486704325
2020-05-22,220.63083144321163,222.00222728846185,219.71335007153678,221.79942321777344,0.003451714176721188,0.003445770684240321
2020-05-26,225.37275308948347,225.57557187225572,220.9591640870647,221.2006072998047,-0.002699808273986415,-0.002703459329257978
2020-05-27,220.862639405846,222.5237702175574,216.27521745482932,222.40786743164062,0.005457761380373016,0.005442921770278404
2020-05-28,221.26824860465416,225.4790193977128,221.21030458354977,222.11813354492188,-0.0013027141983086299,-0.0013035634681005375
2020-05-29,222.49475793897298,225.60454775136563,220.93019587272562,225.3727569580078,0.014652668654933088,0.01454635556100401
2020-06-01,224.50355468909285,226.42543315640134,224.05929271085435,226.0487823486328,0.0029995878816486687,0.002995098094019817
2020-06-02,226.47376580145584,227.62303801560597,224.06898575496044,227.56509399414062,0.0067078956575366,0.006685497831191807
2020-06-03,228.1735161131128,229.34210788845698,227.29467391199802,228.58880615234375,0.004498546504805745,0.004488458288037869
2020-06-04,228.24114940682549,229.65116982424755,225.6818419517754,226.9856414794922,-0.007013312243221215,-0.0070380211126488
2020-06-05,228.13486623900093,232.07522127740808,227.56506378818975,231.48609924316406,0.019827059255104862,0.019633063171098777
2020-06-08,231.34125754502816,233.40801117207488,229.7670575785261,233.282470703125,0.00776016990149353,0.007730214655106483
2020-06-09,232.42295485244995,235.8224655112898,232.23945560791896,234.97259521484375,0.007244970042646681,0.00721885132420414
2020-06-10,236.6626652106009,239.3378604181149,236.14113956323857,237.79261779785156,0.01200149566560893,0.01193004879462527
2020-06-11,233.87158419849115,235.2526324617041,225.95224885117236,226.01019287109375,-0.049549161937289865,-0.050818840576762225
2020-06-12,230.90665680743496,232.17181704547895,223.80823429074138,227.80653381347656,0.007948052782767112,0.007916633383475306
2020-06-15,224.48428271820094,231.25434627093335,223.5474817115833,230.57830810546875,0.012167229120222167,0.012093803379857413
2020-06-16,235.4361409431384,236.02526306305504,230.91633037317598,234.53797912597656,0.017172782006434906,0.01702699644774075
2020-06-17,236.03490267290994,237.09725881066373,234.42206361761154,235.28160095214844,0.003170581706822162,0.0031655660116268755
2020-06-18,234.96288585726356,236.16044957625311,234.1902793149737,235.91900634765625,0.0027091170449722313,0.0027054540016412205
2020-06-19,238.28512069452606,238.5458834788064,234.1516142568921,235.88035583496094,-0.0001638295841173143,-0.00016384300564954637
2020-06-22,235.7488266174253,238.83500256568558,235.45860266668006,238.70924377441406,0.011992893301519425,0.011921548411287798
2020-06-23,240.30552457394563,242.9756881450079,239.75408432827294,240.74087524414062,0.008510904050479606,0.008474890500906735
2020-06-24,239.98624113416216,241.21490982146324,234.27827785162066,235.77783203125,-0.02061570644311017,-0.020831176643726128
2020-06-25,235.86487855078397,238.32220094805373,233.2914518368603,238.0222930908203,0.009519389673889433,0.0094743657917369
2020-06-26,237.78047708316166,237.9546262115426,231.8790108584563,232.4014434814453,-0.02361480320345577,-0.023898101581390847
2020-06-29,232.1595884050854,234.94585645858035,229.62486746106973,234.93617248535156,0.010906683564160469,0.01084763465484229
2020-06-30,234.8684471681419,240.08301554399114,234.68462883150275,239.54124450683594,0.019601375015043665,0.019411742101734374
2020-07-01,239.57989785928706,243.33361767760738,239.03812690863285,242.33714294433594,0.011671887416533133,0.011604296373561671
2020-07-02,244.78482936675303,245.99414496054678,243.51746898640175,243.98184204101562,0.006786822179617236,0.006763895376933413
2020-07-06,247.13574447485212,250.5024751273051,247.11639129095556,249.98007202148438,0.02458473929982219,0.02428739811165541
2020-07-07,249.72851174337242,252.38900604586954,247.95805718300818,248.25796508789062,-0.006888976867907126,-0.006912815414263628
2020-07-08,249.58342502693569,251.55700701531356,248.15158459234928,251.52798461914062,0.01317186149532934,0.013085866844348776
2020-07-09,253.44352598637002,254.31422730876702,249.2447857889523,253.6466827392578,0.008423309729632233,0.008388031623404454
2020-07-10,253.50154275447863,255.62994977336677,250.82171032441315,255.37840270996094,0.006827292011081676,0.006804091590482656
2020-07-13,258.22269297315665,261.008960278286,249.30278172307214,250.1251220703125,-0.0205705752087999,-0.02078509647398307
2020-07-14,247.60012295876143,252.30195768395197,244.5333001600587,251.89561462402344,0.007078427544807919,0.007053493071981369
2020-07-15,253.308079467626,254.14010398466337,249.10933908788655,252.40835571289062,0.0020355300334724546,0.002033461149255461
2020-07-16,249.62203009299853,251.3247555770134,247.30015049389704,250.6862335205078,-0.006822762216088019,-0.006846143669636692
2020-07-17,251.1409670994148,251.83753401428459,248.7997488052028,250.9765167236328,0.0011579543042647966,0.001157284392281185
2020-07-20,251.61504110027627,258.725823103141,250.36704859363883,258.09698486328125,0.028371053326432305,0.027976048722937935
2020-07-21,259.6642094373432,259.6738934087916,254.56574609122862,255.4074249267578,-0.010420733655405301,-0.010475409674887061
