ticker,Model,MAE,RMSE,Correlation,QLIKE,MSE_var,Log_vol
QQQ,naive,0.13007881839702992,0.18966563167668468,0.29280593936089744,11185380.229488201,0.030659768621144955,4.372751342012119
QQQ,roll_mean,0.10308462105662336,0.1499432429204866,,2.0310862727441954,0.020863193114261293,2.5531135478650873
QQQ,har_rv,0.11577842919700347,0.1678562451702499,,1.9215121691023218,0.03331079533702583,2.002695050397671
QQQ,ewma,0.10044927251962595,0.14780841950206147,,2.073505824403748,0.020857568565488267,2.4851407076425964
QQQ,garch,0.11305216289881306,0.1658096804118149,,1.9029499928750546,0.03310006928514579,1.9585538680834302
QQQ,gjr,0.11112886973515725,0.16312340229877156,,1.9510457193055137,0.03210971936178561,1.9262093413079184
QQQ,garch_t,0.11354282528590702,0.1652821229303268,,1.8534599418920517,0.032642585660483704,1.9726476957378907
QQQ,ridge,0.11223217072704114,0.16194482769683896,,1.6984271718872788,0.03190927801302944,1.951721395023936
QQQ,gas,3.5604856524619253,3.5668965070487797,,6.196308311484274,194.01486302687053,14.971120677994557
QQQ,ensemble,0.10413902939705841,0.14308063784013228,,1.599873224062621,0.017361957517916447,2.000001594435499
