ticker,Model,MAE,RMSE,Correlation,QLIKE,MSE_var,Log_vol
SPY,naive,0.09903048585298271,0.1491098694298043,0.3869786138991271,101608446.44608082,0.018236364319613157,5.282289352267782
SPY,roll_mean,0.08069798108462535,0.12415135136114942,,2.184682549032111,0.014692148290192672,3.0096209634456006
SPY,har_rv,0.08918353723134043,0.13769408177950748,,2.124642985930123,0.02329512513157861,2.3254700407992446
SPY,ewma,0.07805083502830577,0.1211668795028686,,2.1900543789081337,0.014367422306454571,2.9446445474296326
SPY,garch,0.08650354568560543,0.13483338849325044,,1.9496467309764838,0.02277624327602179,2.2919566467778805
SPY,gjr,0.08511936614898395,0.13304249036897092,,2.011466133857301,0.02175224887186376,2.252452689873743
SPY,garch_t,0.0868200053355941,0.1343912854654472,,1.9231824428871365,0.02242929328200725,2.3025741651594
SPY,ridge,0.0849530801276496,0.13188107360441936,,1.7668676002934764,0.021987622665877223,2.288544715655081
SPY,gas,3.600220281432387,3.605524671355552,,6.763948116023127,194.3300486240327,17.61606987042222
SPY,ensemble,0.07763676995117241,0.11150494913807808,,1.7263611696587657,0.008878183923752385,2.47515518543167
