,MAE,RMSE,QLIKE
SPY_high,0.11735748793163664,0.17728435115268587,2.2888269792762537
SPY_low,0.08622732107920611,0.11516141115865418,2.697423490113344
SPY_medium,0.047889706775963506,0.07054955147391567,0.46595449005577105
QQQ_high,0.14678849741332942,0.20869010347635786,1.9807727215443227
QQQ_low,0.11778117540066846,0.14128158506956123,2.7780412018246703
QQQ_medium,0.06522696916873875,0.10154220582147339,0.4418527481516173
IWM_high,0.151645930873184,0.22199117758011067,1.872154355448868
IWM_low,0.13134800780265238,0.14419063296466736,2.5476547609281806
IWM_medium,0.06236864339567025,0.08630190385386936,0.35471715106475943
