ticker,Model,MAE,RMSE,Correlation,QLIKE,MSE_var,Log_vol
SPY,naive,0.09903048585298271,0.1491098694298043,0.3869786138991271,101608446.44608082,0.018236364319613157,5.282289352267782
SPY,roll_mean,0.08069798108462535,0.12415135136114942,,2.184682549032111,0.014692148290192672,3.0096209634456006
SPY,har_rv,0.08918353723134043,0.13769408177950748,,2.124642985930123,0.02329512513157861,2.3254700407992446
SPY,ewma,0.07805083502830577,0.1211668795028686,,2.1900543789081337,0.014367422306454571,2.9446445474296326
SPY,garch,0.08650354568560543,0.13483338849325044,,1.9496467309764838,0.02277624327602179,2.2919566467778805
SPY,gjr,0.08511936614898395,0.13304249036897092,,2.011466133857301,0.02175224887186376,2.252452689873743
SPY,garch_t,0.0868200053355941,0.1343912854654472,,1.9231824428871365,0.02242929328200725,2.3025741651594
SPY,ridge,0.0849530801276496,0.13188107360441936,,1.7668676002934764,0.021987622665877223,2.288544715655081
SPY,gas,3.600220281432387,3.605524671355552,,6.763948116023127,194.3300486240327,17.61606987042222
SPY,ensemble,0.07763676995117241,0.11150494913807808,,1.7263611696587657,0.008878183923752385,2.47515518543167
QQQ,naive,0.13007881839702992,0.18966563167668468,0.29280593936089744,11185380.229488201,0.030659768621144955,4.372751342012119
QQQ,roll_mean,0.10308462105662336,0.1499432429204866,,2.0310862727441954,0.020863193114261293,2.5531135478650873
QQQ,har_rv,0.11577842919700347,0.1678562451702499,,1.9215121691023218,0.03331079533702583,2.002695050397671
QQQ,ewma,0.10044927251962595,0.14780841950206147,,2.073505824403748,0.020857568565488267,2.4851407076425964
QQQ,garch,0.11305216289881306,0.1658096804118149,,1.9029499928750546,0.03310006928514579,1.9585538680834302
QQQ,gjr,0.11112886973515725,0.16312340229877156,,1.9510457193055137,0.03210971936178561,1.9262093413079184
QQQ,garch_t,0.11354282528590702,0.1652821229303268,,1.8534599418920517,0.032642585660483704,1.9726476957378907
QQQ,ridge,0.11223217072704114,0.16194482769683896,,1.6984271718872788,0.03190927801302944,1.951721395023936
QQQ,gas,3.5604856524619253,3.5668965070487797,,6.196308311484274,194.01486302687053,14.971120677994557
QQQ,ensemble,0.10413902939705841,0.14308063784013228,,1.599873224062621,0.017361957517916447,2.000001594435499
IWM,naive,0.13095385662933062,0.18605121122078794,0.3081739910695285,71462476.13765578,0.027570508284833525,4.850632225132338
IWM,roll_mean,0.102473957665561,0.1477819183241782,,1.6984273622897381,0.022741860102042575,2.710044281606702
IWM,har_rv,0.12236840823286615,0.17363289024504497,,1.779375118685512,0.03745480004296434,1.7492294250035039
IWM,ewma,0.09932866052694447,0.14569863351542403,,1.834138097637158,0.02264019258145746,2.633855517948143
IWM,garch,0.11760375875456856,0.1701030042113882,,1.7963349170927332,0.0377755076731394,2.097009780011412
IWM,gjr,0.1162806913576913,0.16863386009133607,,1.8307097918242219,0.036532697108998535,2.0768453433233045
IWM,garch_t,0.117818925426791,0.16991858526326895,,1.7757819331386242,0.03769034575658838,2.1008127550191085
IWM,ridge,0.11781527096539479,0.1684826267427313,,1.5669702433440813,0.03732353647626582,2.164029642305534
IWM,gas,3.545266569502927,3.5517881532819553,,5.853066416080174,193.9084894672272,14.022394358003073
IWM,ensemble,0.10579120748696717,0.14139284865184268,,1.541599093401694,0.009834704520036461,1.2708408476964674
