Date,Close,Simple,naive,roll_mean,har_rv,ewma,garch,gjr,garch_t,ridge
2010-01-28,48.797447204589844,-0.017140399327209233,,,,,,,,
2010-01-29,48.259521484375,-0.011023644699271196,0.27209540395280674,,,,,,,
2010-02-01,48.82954788208008,0.01181168772859964,0.17499493449484194,,,,,,,
2010-02-02,49.36745834350586,0.011016085234391237,0.18750472976296823,,,,,,,
2010-02-03,49.03828048706055,-0.006667911768008072,0.17487493171013938,,,,,,,
2010-02-04,47.40047073364258,-0.033398596711606277,0.10584981781362222,,,,,,,
2010-02-05,47.58513259887695,0.003895781252301278,0.530186286224699,,,,,,,
2010-02-08,47.1114387512207,-0.009954660663642478,0.061843610135381755,,,,,,,
2010-02-09,47.76176071166992,0.013803907876457355,0.15802533901221116,,,,,,,
2010-02-10,47.87415313720703,0.0023531884893357446,0.21913024417171126,,,,,,,
2010-02-11,48.63685989379883,0.01593149343876399,0.0373557091850529,,,,,,,
2010-02-12,48.9901237487793,0.007263294870430315,0.2529046179169605,,,,,,,
2010-02-16,49.817054748535156,0.01687954502822553,0.11530123155653833,,,,,,,
2010-02-17,50.15426254272461,0.006768922729205817,0.2679544703316089,,,,,,,
2010-02-18,50.5637092590332,0.008163747118399067,0.10745331711174719,,,,,,,
2010-02-19,50.6279411315918,0.0012703156769915402,0.12959546785022463,,,,,,,
2010-02-22,50.78048324584961,0.003013002520906971,0.020165636207197624,,,,,,,
2010-02-23,50.186370849609375,-0.01169962076500708,0.04782993221958321,,,,,,,
2010-02-24,50.61188888549805,0.008478756855397895,0.18572572186785594,,,,,,,
2010-02-25,50.6279411315918,0.0003171635449146226,0.1345960923982012,,,0.20105457509178734,,,,
2010-02-26,50.41918182373047,-0.004123401094244028,0.005034815188678536,,,0.19493354405350005,,,,
2010-03-01,51.591373443603516,0.023248921887925933,0.06545696310684783,,,0.18967397882306536,,,,
2010-03-02,51.9847526550293,0.007624902869775241,0.3690651933949098,0.16467929389153582,,0.2049150852586398,,,,
2010-03-03,52.28182601928711,0.005714624944533009,0.12104158058668803,0.1578132110112577,,0.2008727071814827,,,,
2010-03-04,52.41829299926758,0.0026102183181231364,0.09071685863544374,0.15398238938128506,,0.1960169041879644,,,,
2010-03-05,53.48610305786133,0.020370942995199703,0.04143593122403459,0.14734289853860627,,0.19031627704316775,,,,
2010-03-08,53.58243179321289,0.0018010049310819287,0.32337869482302994,0.1540930695891922,,0.20080212898533784,,,,
2010-03-09,53.775115966796875,0.0035960326386006436,0.028590066945862833,0.15058126273156677,,0.19481080262762568,,,,
2010-03-10,54.232765197753906,0.008510427597024695,0.057085248409252276,0.1290766701035919,,0.18939297090006088,,,,
2010-03-11,54.393314361572266,0.0029603720782618304,0.13509884983529016,0.13240645372631502,,0.18658139653882785,,,,
