rank,ticker,risk_adj_score,trailing_return_ann,forecast_vol_ann,desired_shares_int,dollar_exposure,close
1,XLF,0.9788957467189494,0.09662890841011817,0.09871215472536043,1875,100012.5002861023,53.34000015258789
2,IWM,0.8480087116308433,0.1901177213292531,0.2241931229263308,152,44528.40185546875,292.95001220703125
3,QQQ,0.8085996148984919,0.21648184741980092,0.2677244008420374,52,37509.681396484375,721.3400268554688
4,SPY,0.6660601602199893,0.12303632263681807,0.18472253706959607,73,54147.75,741.75
5,TLT,0.028307573051215958,0.0026650519917474913,0.09414625502955343,1166,100007.81608581543,85.7699966430664
6,XLE,0.020948171871181708,0.003917079348339625,0.18698907820821972,929,53463.94929122925,57.54999923706055
7,VXX,-0.5343350005259156,-0.3105412588327634,0.5811733435524816,711,17206.20054244995,24.200000762939453
8,GLD,-0.6250692522992617,-0.16122729880956677,0.25793509793755887,100,38654.00085449219,386.5400085449219
