,MAE,RMSE,QLIKE
NVDA_high,0.32499684970087267,0.4868884023438264,3.7457277243012306
NVDA_low,0.2320251463666412,0.2537777164727137,2.512090160354792
NVDA_medium,0.11304272163473433,0.1503785955904873,0.3429680116527415
