run_id,timestamp,tickers,run_path
a6d7e5c5_20260216_1503,2026-02-16T15:03:45.914556,NVDA,C:\Users\P\Desktop\CS Practice\PRJ\Volatility Forecast\artifacts\experiments\a6d7e5c5_20260216_1503
5d5b2c16_20260216_1504,2026-02-16T15:05:02.086787,NVDA,C:\Users\P\Desktop\CS Practice\PRJ\Volatility Forecast\artifacts\experiments\5d5b2c16_20260216_1504
b1f9539f_20260216_1610,2026-02-16T16:10:52.245216,NVDA,C:\Users\P\Desktop\CS Practice\PRJ\Volatility Forecast\artifacts\experiments\b1f9539f_20260216_1610
