Model,MAE,RMSE,Correlation,QLIKE,MSE_var,Log_vol
naive,0.2787184555160373,0.4240006819632535,0.16832694871384662,521214941.22882634,0.8387579637875608,9.880674612016158
roll_mean,0.2143841490595815,0.316667050987653,,2.1710844267428127,0.44546332351028434,5.309628358303555
har_rv,0.2291402341967409,0.34568359647955715,,2.6997994099555895,0.5954622256016153,2.70974373547645
ewma,0.21058903459485634,0.31718858505942743,,2.263931038571562,0.45084947807724174,5.272639388207511
garch,0.2277537259704985,0.3426416812629701,,2.2807357851990533,0.5970639151591247,2.7326027962060664
gjr,0.2262980991872343,0.34235421216140444,,2.4009283849248813,0.5972225554685977,2.691461210038566
garch_t,0.22672828074613874,0.34051087209178915,,2.245700199029457,0.5939577492661625,2.7277820534656345
ridge,0.22568187834301867,0.33497407857056427,,2.231767088731996,0.5816127344245826,2.7276716446603504
