Model,MAE,RMSE,Correlation,QLIKE,MSE_var,Log_vol
naive,0.27871824139509205,0.4240003454889046,0.16832716861104896,521213590.7342832,0.8387549497503716,9.880648523211384
roll_mean,0.21438402265968215,0.31666683233189374,,2.1710858330632106,0.4454617748678424,5.309630042806396
har_rv,0.22914011614454388,0.3456834183061014,,2.6997994691469955,0.5954602909508143,2.709739440774804
ewma,0.21058887915503235,0.31718837737934935,,2.2639315016110766,0.4508479365872242,5.2726429162866
garch,0.22779530199444625,0.3428011974972695,,2.2860427313721767,0.5971463444485865,2.733615566166104
gjr,0.22629795053657786,0.3423540763966688,,2.4009286066194147,0.5972207683371091,2.691463354848822
garch_t,0.22667184229589143,0.34049113415352467,,2.245474257232709,0.5939521845955827,2.727577957012096
ridge,0.22568183353632554,0.3349739519426891,,2.2317636427109218,0.5816108300060826,2.72767277710421
