regime,MAE,RMSE,QLIKE
high,0.32472134149542065,0.4866459168227065,3.741988348098721
low,0.23202524759075907,0.25377778780545146,2.512084319269195
medium,0.11296277347302133,0.1503024357029521,0.3426344871620366
